char_ ,char_0,char_1,char_2,char_3,char_4,char_5,char_6,char_7,char_8,char_9,char__,char_a,char_b,char_c,char_d,char_e,char_f,char_g,char_h,char_i,char_j,char_k,char_l,char_m,char_n,char_o,char_p,char_q,char_r,char_s,char_t,char_u,char_v,char_w,char_x,char_y,char_z
34,2,1,1,1,1,0,0,0,2,2,0,16,2,6,8,19,3,3,2,11,1,0,11,6,13,18,9,0,13,5,10,3,5,2,0,1,1
14,4,1,1,0,0,0,0,0,0,3,0,4,1,2,0,4,1,0,4,2,2,0,8,1,4,3,3,0,1,2,3,2,0,0,2,0,0
219,0,5,2,2,0,4,1,0,0,0,0,80,17,34,48,150,15,27,40,63,5,20,41,34,70,78,23,1,80,46,98,36,8,24,2,13,0
43,0,0,0,0,0,0,0,0,0,0,0,36,7,13,14,24,8,7,17,21,1,1,12,8,21,23,11,0,30,12,15,9,4,3,0,2,0
28,0,0,0,0,0,0,0,0,0,0,0,8,2,11,9,25,0,2,4,9,1,3,4,1,13,8,4,0,10,10,8,6,4,3,0,0,0
40,0,0,0,0,0,0,0,0,0,0,0,16,4,13,10,28,2,6,12,9,1,1,12,4,24,12,2,0,21,13,9,8,3,3,0,0,0
211,6,6,10,6,1,2,0,0,0,0,0,82,10,83,36,111,30,14,16,80,2,21,53,40,44,81,50,0,81,66,76,38,13,5,4,9,0
73,2,1,0,1,0,0,0,0,0,0,0,24,10,15,12,47,7,8,13,32,1,6,18,12,21,20,11,2,20,25,38,18,3,9,2,4,0
70,11,5,14,2,3,1,7,3,0,2,0,17,5,12,5,21,6,1,4,11,4,0,20,11,14,17,3,0,7,11,18,14,2,5,3,0,1
14,5,3,5,1,0,0,0,0,0,0,0,2,1,3,0,4,1,0,3,2,1,0,7,1,4,2,2,0,0,2,4,1,0,0,2,0,0
669,11,13,10,3,2,10,0,2,1,5,0,265,42,240,108,396,53,35,57,273,11,47,175,115,257,251,150,4,249,207,319,106,87,65,30,25,1
44,5,2,1,0,4,2,1,0,0,0,0,13,4,7,0,19,3,5,6,15,1,0,3,3,10,14,5,0,18,11,27,8,2,5,1,5,0
23,15,1,5,0,0,0,0,0,1,0,0,6,1,4,1,5,0,2,3,3,1,1,7,0,6,4,4,0,3,4,5,4,0,0,0,0,0
48,0,0,0,0,0,0,0,0,0,0,0,27,12,18,14,24,7,8,8,29,2,2,15,9,24,27,5,0,24,10,15,15,2,3,2,5,0
23,2,0,2,2,1,2,1,1,3,1,0,12,1,2,4,15,1,1,1,5,3,3,5,4,8,2,2,0,5,5,6,4,3,0,0,0,0
862,9,14,16,11,9,5,9,3,8,7,0,346,89,240,108,471,84,95,71,438,11,55,128,189,308,322,180,4,354,250,357,176,58,47,16,36,0
381,14,7,14,7,4,4,2,3,4,3,0,100,22,144,32,221,16,18,84,73,14,17,64,37,85,120,22,0,109,48,159,64,17,17,1,18,2
80,15,5,6,2,4,1,4,1,0,2,0,23,4,20,2,25,6,5,7,19,5,6,6,18,29,27,6,2,29,9,21,12,2,4,1,6,1
132,17,5,6,1,7,4,1,0,5,5,0,55,9,36,13,62,3,13,11,29,2,5,29,25,51,40,15,0,37,22,51,27,9,8,1,4,0
69,0,0,0,0,0,0,0,0,0,0,0,30,4,16,18,36,4,9,6,42,3,4,25,17,23,28,13,3,26,23,35,11,2,2,0,1,0
189,41,22,23,7,5,8,2,6,10,2,0,69,13,29,30,63,4,19,22,41,3,5,27,31,41,57,21,2,55,29,50,18,6,17,2,25,0
78,13,5,3,9,3,3,3,0,0,0,0,23,2,11,9,40,6,6,8,12,1,1,13,31,13,18,9,1,28,15,29,13,6,2,0,6,0
14,2,1,4,0,0,1,2,0,0,0,0,4,1,2,0,4,1,0,4,2,2,0,8,1,4,3,3,0,1,2,3,2,0,0,2,0,0
20,8,1,1,0,1,0,0,0,0,0,0,9,2,4,0,14,1,1,0,4,1,3,2,2,5,4,2,0,1,7,7,1,4,0,1,1,0
752,19,10,8,20,8,14,7,3,7,5,0,314,33,192,129,379,63,85,59,331,20,43,222,125,224,300,161,12,307,238,259,106,44,52,17,25,1
200,56,20,13,6,8,3,0,3,2,6,0,63,9,56,15,65,8,17,24,47,8,8,40,23,56,60,24,0,61,22,45,23,7,2,4,0,2
192,2,1,2,0,0,2,0,0,0,0,0,70,13,50,23,117,17,24,21,81,5,16,51,37,80,60,44,1,86,78,58,23,12,23,0,8,0
26,0,0,0,0,0,0,0,0,0,0,0,14,5,5,5,11,4,0,3,13,1,2,4,5,7,6,5,1,11,7,18,6,0,1,0,0,0
130,10,7,5,7,9,6,3,13,7,3,0,48,8,28,19,86,2,5,14,42,2,5,32,25,42,37,12,5,41,42,42,22,13,2,4,4,0
160,20,15,10,11,4,2,4,3,12,1,0,54,13,49,13,81,10,10,20,25,6,11,27,24,23,34,12,0,49,12,61,24,8,8,0,11,1
169,32,16,16,6,8,5,9,6,6,4,0,55,11,34,34,84,9,15,24,39,6,12,32,18,50,32,32,0,52,27,32,16,2,8,8,3,2
23,14,1,2,0,1,1,1,0,0,0,0,3,2,7,0,6,2,0,4,3,1,1,7,0,4,5,5,0,4,3,5,2,0,0,0,0,0
117,14,3,5,3,0,2,3,2,3,4,0,42,13,27,17,52,13,5,6,28,1,3,20,18,43,38,27,0,32,29,43,10,14,3,1,6,0
175,24,3,11,6,1,5,4,0,2,5,0,37,12,52,38,86,3,9,22,27,5,4,33,16,37,62,25,1,46,16,64,41,8,10,6,6,3
106,8,9,6,1,0,4,0,2,0,0,0,45,13,24,17,44,3,0,8,20,1,11,31,8,16,26,35,0,30,25,48,15,4,3,3,6,0
459,46,41,29,12,19,27,17,9,15,20,0,124,48,104,69,178,16,27,23,130,7,26,86,93,77,141,77,5,127,106,114,64,16,28,17,10,3
45,25,0,5,2,3,3,2,1,0,0,0,7,1,9,0,16,4,0,6,5,5,1,7,1,10,7,8,0,8,2,11,7,0,0,1,0,0
9,0,0,0,0,0,0,0,0,0,0,0,5,3,4,0,7,1,0,1,1,1,0,6,0,2,3,1,0,0,3,5,1,0,0,0,0,0
46,9,11,2,1,1,1,0,0,3,2,2,10,3,12,1,12,2,1,9,8,4,2,6,5,15,17,6,0,10,5,9,2,0,1,2,1,0
98,30,8,11,4,6,6,4,6,0,5,0,14,15,19,3,38,8,3,11,16,5,3,10,11,19,18,5,0,22,19,29,18,10,3,1,5,0
58,5,1,0,0,0,0,0,0,1,0,0,19,4,13,4,16,2,5,6,15,2,2,19,4,16,10,10,1,14,7,8,7,5,1,3,5,0
19,0,0,0,0,1,0,0,0,0,0,0,5,2,4,6,11,3,1,1,8,2,2,4,3,10,5,4,0,4,5,7,4,2,2,0,2,0
48,8,4,4,4,0,1,1,7,4,1,0,18,1,11,7,15,6,3,4,29,2,3,14,5,19,13,8,0,10,7,13,9,0,0,3,0,0
23,13,1,1,0,0,3,2,0,0,0,0,3,2,7,0,6,2,0,4,3,1,1,7,0,4,5,5,0,4,3,5,2,0,0,0,0,0
107,14,4,9,3,2,0,0,1,0,0,0,30,6,30,14,45,5,4,17,31,4,4,25,27,22,27,12,0,26,19,41,17,8,6,1,5,1
184,23,14,7,15,6,6,6,11,7,5,0,51,13,46,23,73,7,9,25,43,2,5,38,23,30,43,12,0,44,36,64,26,8,7,2,2,0
197,47,7,12,5,2,6,8,8,0,14,2,52,31,42,27,59,33,21,22,61,20,25,43,22,29,48,44,14,61,30,48,30,28,29,16,14,18
93,2,0,1,0,1,0,0,0,0,0,0,35,9,31,16,63,9,6,3,39,1,7,12,15,46,29,13,3,60,44,55,35,10,6,2,4,0
70,4,3,1,1,1,0,0,1,0,0,0,28,6,13,12,35,10,7,10,27,1,5,17,8,29,32,13,0,31,26,32,9,2,14,0,3,1
1108,61,26,46,21,14,19,8,18,9,12,18,470,89,280,138,461,113,130,114,337,51,79,318,301,243,383,105,3,296,189,279,112,50,73,12,55,6
